"FIPS","State","County","DIRSALES_FARMS07","DIRSALES_FARMS12","PCH_DIRSALES_FARMS_07_12","PCT_LOCLFARM07","PCT_LOCLFARM12","PCT_LOCLSALE07","PCT_LOCLSALE12","DIRSALES07","DIRSALES12","PCH_DIRSALES_07_12","PC_DIRSALES07","PC_DIRSALES12","PCH_PC_DIRSALES_07_12","FMRKT09","FMRKT16","PCH_FMRKT_09_16","FMRKTPTH09","FMRKTPTH16","PCH_FMRKTPTH_09_16","FMRKT_SNAP16","PCT_FMRKT_SNAP16","FMRKT_WIC16","PCT_FMRKT_WIC16","FMRKT_WICCASH16","PCT_FMRKT_WICCASH16","FMRKT_SFMNP16","PCT_FMRKT_SFMNP16","FMRKT_CREDIT16","PCT_FMRKT_CREDIT16","FMRKT_FRVEG16","PCT_FMRKT_FRVEG16","FMRKT_ANMLPROD16","PCT_FMRKT_ANMLPROD16","FMRKT_BAKED16","PCT_FMRKT_BAKED16","FMRKT_OTHERFOOD16","PCT_FMRKT_OTHERFOOD16","VEG_FARMS07","VEG_FARMS12","PCH_VEG_FARMS_07_12","VEG_ACRES07","VEG_ACRES12","PCH_VEG_ACRES_07_12","VEG_ACRESPTH07","VEG_ACRESPTH12","PCH_VEG_ACRESPTH_07_12","FRESHVEG_FARMS07","FRESHVEG_FARMS12","PCH_FRESHVEG_FARMS_07_12","FRESHVEG_ACRES07","FRESHVEG_ACRES12","PCH_FRESHVEG_ACRES_07_12","FRESHVEG_ACRESPTH07","FRESHVEG_ACRESPTH12","PCH_FRESHVEG_ACRESPTH_07_12","ORCHARD_FARMS07","ORCHARD_FARMS12","PCH_ORCHARD_FARMS_07_12","ORCHARD_ACRES07","ORCHARD_ACRES12","PCH_ORCHARD_ACRES_07_12","ORCHARD_ACRESPTH07","ORCHARD_ACRESPTH12","PCH_ORCHARD_ACRESPTH_07_12","BERRY_FARMS07","BERRY_FARMS12","PCH_BERRY_FARMS_07_12","BERRY_ACRES07","BERRY_ACRES12","PCH_BERRY_ACRES_07_12","BERRY_ACRESPTH07","BERRY_ACRESPTH12","PCH_BERRY_ACRESPTH_07_12","SLHOUSE07","SLHOUSE12","PCH_SLHOUSE_07_12","GHVEG_FARMS07","GHVEG_FARMS12","PCH_GHVEG_FARMS_07_12","GHVEG_SQFT07","GHVEG_SQFT12","PCH_GHVEG_SQFT_07_12","GHVEG_SQFTPTH07","GHVEG_SQFTPTH12","PCH_GHVEG_SQFTPTH_07_12","FOODHUB16","CSA07","CSA12","PCH_CSA_07_12","AGRITRSM_OPS07","AGRITRSM_OPS12","PCH_AGRITRSM_OPS_07_12","AGRITRSM_RCT07","AGRITRSM_RCT12","PCH_AGRITRSM_RCT_07_12","FARM_TO_SCHOOL09","FARM_TO_SCHOOL13"
"01001","AL","Autauga","25","51","104","6.0240963855422","13.110539845758","0.59637404580153","1.5546918378679","100","308","208","1.9082148649938","5.5822383325782","192.53719981876","2","1","-50","0.039404208369454","0.01804532986863","-54.204561859391","0","0","0","0","0","0","0","0","0","0","1","100","0","0","1","100","1","100","34","45","32.352941176471","948","1230","-22.926829268293","18.089876920141","17.181694608065","-5.0203896692343","34","43","26.470588235294","","","","","","","23","25","8.695652173913","384","402","4.6875","7.3275450815762","7.2859084730403","-0.5682204349796","3","5","66.666666666667","","5","","","0.090620752152243","","0","0","0","0","0","","0","0","","0","0","","0","2","3","50","7","10","42.857142857143","228000","146000","-35.964912280702","0",""
"01003","AL","Baldwin","80","103","28.75","7.0237050043898","10.41456016178","0.71263405493761","0.47801006181673","715","648","-9.3706293706294","4.14723556298","3.4034328452278","-17.934904021166","4","4","0","0.022237294166046","0.019178857227792","-13.753637989481","0","0","0","0","0","0","4","100","2","50","3","75","4","100","3","75","3","75","51","50","-1.9607843137255","2280","1958","16.445352400409","13.224751165866","11.975041492468","-9.4497783566882","51","50","-1.9607843137255","","","","","","","252","228","-9.5238095238095","4333","3361","-22.432494807293","25.132827544605","17.652681779029","-29.762452124816","36","41","13.888888888889","79","93","17.721518987342","0.45822602723835","0.48845563982437","6.5970963649114","1","1","0","0","4","","0","62160","","0","326.47744700519","","0","13","7","-46.153846153846","18","16","-11.111111111111","124000","204000","64.516129032258","0","0"
"01005","AL","Barbour","18","13","-27.777777777778","2.8892455858748","2.276707530648","0.015403357932029","0.012457357506995","11","13","18.181818181818","0.39629642972944","0.47866269008432","20.784002624277","2","4","100","0.06725628005515","0.15405353360293","129.05449643751","2","50","0","0","0","0","2","50","2","50","2","50","0","0","2","50","2","50","11","7","-36.363636363636","32","41","-21.951219512195","1.1528623410311","1.178246621746","2.2018483743879","11","7","-36.363636363636","30","41","36.666666666667","1.0808084447166","1.5096284841121","39.675859444997","85","58","-31.764705882353","1047","799","-23.686723973257","37.720214720611","29.419345336721","-22.00642134562","3","5","66.666666666667","","42","","","1.5464486910416","","0","0","0","0","0","","0","0","","0","0","","0","1","0","-100","27","32","18.518518518519","163000","304000","86.503067484663","0","1"
"01007","AL","Bibb","12","13","8.3333333333333","5.6872037914692","6.8783068783069","","","46","20","-56.521739130435","2.0500935912292","0.88331419485911","-56.913469773372","1","1","0","0.046324176587761","0.044163759219185","-4.663692973546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","11","10","65","14","364.28571428571","2.8968713789108","2.8707711332921","-0.9009804787563","10","10","0","","12","","","0.52998851691547","","7","4","-42.857142857143","","13","","","0.57415422665842","","6","2","-66.666666666667","6","","","0.26740351189946","","","0","0","0","0","2","","0","","","0","","","0","2","3","50","5","6","20","","21000","","0","0"
"01009","AL","Blount","84","88","4.7619047619048","5.9405940594059","7.0910556003223","0.26771673198372","0.27779180766705","429","495","15.384615384615","7.6280227596017","8.5675713098865","12.31706537716","1","1","0","0.017139429257006","0.017329821156246","1.1108415361156","0","0","1","100","0","0","1","100","0","0","1","100","1","100","1","100","1","100","67","64","-4.4776119402985","585","677","-13.589364844904","10.401849217639","10.125311548048","-2.6585433397951","65","59","-9.2307692307692","581","654","12.564543889845","10.330725462304","11.319579063971","9.5719667052909","36","28","-22.222222222222","193","176","-8.8082901554404","3.4317211948791","3.0462475768485","-11.232661283958","14","25","78.571428571429","28","38","35.714285714286","0.49786628733997","0.65771254500138","32.106262610278","0","0","0","2","0","-100","","0","","","0","","0","7","4","-42.857142857143","10","8","-20","293000","30000","-89.761092150171","0","1"
"01011","AL","Bullock","13","12","-7.6923076923077","4.6931407942238","4.3956043956044","0.10295126973233","0.1063264221159","42","58","38.095238095238","3.8143674507311","5.4686026777296","43.368533534477","1","1","0","0.091033227127902","0.096506465933218","6.0123528276394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","8","-52.941176470588","134","70","91.428571428571","12.169648533285","12.634357910617","3.8185932491043","17","8","-52.941176470588","","70","","","6.6000377145012","","49","30","-38.775510204082","1136","656","-42.253521126761","103.16955771501","61.851782010183","-40.048417982912","4","0","-100","","0","","","0","","0","0","0","0","0","","0","0","","0","0","","0","2","0","-100","18","13","-27.777777777778","116000","466000","301.72413793103","0","0"
"01013","AL","Butler","11","31","181.81818181818","2.2448979591837","7.6167076167076","0.010500120751389","0.11893089298035","10","131","1210","0.47860629845889","6.4190513524108","1241.1965895727","2","2","0","0.10018032458425","0.1000100010001","-0.1700170017005","0","0","0","0","0","0","1","50","0","0","1","50","0","0","0","0","0","0","20","23","15","80","105","-23.809523809524","3.8288503876711","3.9200313602509","2.3814190513524","19","23","21.052631578947","","100","","","4.9000392003136","","24","27","12.5","244","497","103.68852459016","11.677993682397","24.353194825559","108.53920192017","3","2","-33.333333333333","","","","","","","0","0","0","0","0","","0","0","","0","0","","0","3","5","66.666666666667","9","9","0","97000","73000","-24.742268041237","0","0"
"01015","AL","Calhoun","35","50","42.857142857143","4.7619047619048","8.4459459459459","0.11583962004605","0.30849831678989","80","285","256.25","0.688402991111","2.4299575396893","252.98474455604","2","2","0","0.017531403125849","0.017450331992566","-0.46243379780312","1","50","0","0","0","0","2","100","1","50","2","100","2","100","2","100","2","100","25","15","-40","46","26","76.923076923077","0.39583171988882","0.39220367307266","-0.91656293163721","25","15","-40","38","","","0.32699142077772","","","20","21","5","56","91","62.5","0.4818820937777","0.77588117933939","61.01058523609","14","13","-7.1428571428571","16","12","-25","0.1376805982222","0.10231400167113","-25.687422198728","2","2","0","0","1","","0","","","0","","","0","3","2","-33.333333333333","4","9","125","7000","203000","2800","0","0"
"01017","AL","Chambers","15","22","46.666666666667","4.4642857142857","7.3089700996678","1.0285538839423","0.80335731414868","67","67","0","1.9226906189916","1.9662509170946","2.2655906089508","1","1","0","0.029137529137529","0.029548207901191","1.4094495168869","0","0","0","0","0","0","0","0","0","0","1","100","0","0","1","100","1","100","6","8","33.333333333333","39","51","-23.529411764706","1.1191781215026","1.1445341159208","2.2655906089508","6","8","33.333333333333","39","","","1.1191781215026","","","13","7","-46.153846153846","97","150","54.639175257732","2.7835968663013","4.4020542920029","58.14266589013","0","5","","0","5","","0","0.14673514306676","","0","0","0","1","3","200","","5280","","","154.9523110785","","0","0","1","","18","14","-22.222222222222","89000","26000","-70.786516853933","0","0"
"01019","AL","Cherokee","23","14","-39.130434782609","3.5168195718654","2.4955436720143","0.089998500025","0.025832256989292","54","31","-42.592592592593","2.1132548037412","1.1912538907889","-43.629424682724","1","1","0","0.040903141361257","0.038872691933916","-4.964042759961","0","0","0","0","0","0","1","100","1","100","1","100","0","0","0","0","1","100","17","4","-76.470588235294","115","","","4.5004500450045","4.4191676593782","-1.8060946086155","16","4","-75","","","","","","","16","7","-56.25","36","34","-5.5555555555556","1.4088365358275","1.3065365253814","-7.2613115748035","5","2","-60","5","","","0.19567174108715","","","0","0","0","0","0","","0","0","","0","0","","0","4","2","-50","13","10","-23.076923076923","102000","15000","-85.294117647059","0","1"
